 minimum eigenvalues =  0.20280641186861459 0.21941481797189319 0.22985457885597677
 maximum eigenvalues =  3225.384472640475 481.72765559786103 350.03170853490155
 num eigs kept =  63
 iter     1 lrate =  0.0500000000 LL =  -1.8623230418 nd =  0.0413469210, D =   0.16978E-01  0.16978E-01  (  5.93 s,   3.3 h)
 iter   138 lrate =  1.0000000000 LL =  -1.7828740987 nd =  0.0006272819, D =   0.75212E-01  0.75212E-01  (  3.38 s,   1.8 h)
 iter   139 lrate =  1.0000000000 LL =  -1.7828469778 nd =  0.0006396067, D =   0.75288E-01  0.75288E-01  (  3.17 s,   1.6 h)
 iter   140 lrate =  1.0000000000 LL =  -1.7828190908 nd =  0.0006533976, D =   0.75360E-01  0.75360E-01  (  3.31 s,   1.7 h)
 iter   141 lrate =  1.0000000000 LL =  -1.7827902475 nd =  0.0006684719, D =   0.75428E-01  0.75428E-01  (  3.52 s,   1.8 h)
 iter   142 lrate =  1.0000000000 LL =  -1.7827602627 nd =  0.0006843654, D =   0.75493E-01  0.75493E-01  (  3.28 s,   1.7 h)
 iter   143 lrate =  1.0000000000 LL =  -1.7827290949 nd =  0.0006999497, D =   0.75557E-01  0.75557E-01  (  3.36 s,   1.7 h)
 iter   144 lrate =  1.0000000000 LL =  -1.7826966445 nd =  0.0007145721, D =   0.75618E-01  0.75618E-01  (  3.17 s,   1.6 h)
 iter   145 lrate =  1.0000000000 LL =  -1.7826629756 nd =  0.0007277641, D =   0.75676E-01  0.75676E-01  (  3.27 s,   1.7 h)
 iter   146 lrate =  1.0000000000 LL =  -1.7826281305 nd =  0.0007387753, D =   0.75731E-01  0.75731E-01  (  3.24 s,   1.7 h)
 iter   147 lrate =  1.0000000000 LL =  -1.7825923347 nd =  0.0007468710, D =   0.75780E-01  0.75780E-01  (  3.29 s,   1.7 h)
 iter   148 lrate =  1.0000000000 LL =  -1.7825557688 nd =  0.0007496981, D =   0.75824E-01  0.75824E-01  (  3.34 s,   1.7 h)
 iter   149 lrate =  1.0000000000 LL =  -1.7825189481 nd =  0.0007460411, D =   0.75861E-01  0.75861E-01  (  3.59 s,   1.8 h)
 iter   150 lrate =  1.0000000000 LL =  -1.7824823779 nd =  0.0007377866, D =   0.75894E-01  0.75894E-01  (  3.65 s,   1.9 h)
 iter   151 lrate =  1.0000000000 LL =  -1.7824465017 nd =  0.0007252033, D =   0.75921E-01  0.75921E-01  (  3.25 s,   1.7 h)
 iter   152 lrate =  1.0000000000 LL =  -1.7824117064 nd =  0.0007090155, D =   0.75944E-01  0.75944E-01  (  3.23 s,   1.7 h)
 iter   153 lrate =  1.0000000000 LL =  -1.7823783715 nd =  0.0006903354, D =   0.75961E-01  0.75961E-01  (  3.25 s,   1.7 h)
 iter   154 lrate =  1.0000000000 LL =  -1.7823466663 nd =  0.0006691475, D =   0.75976E-01  0.75976E-01  (  3.23 s,   1.7 h)
 iter   155 lrate =  1.0000000000 LL =  -1.7823166170 nd =  0.0006499487, D =   0.75991E-01  0.75991E-01  (  3.23 s,   1.7 h)
 iter   156 lrate =  1.0000000000 LL =  -1.7822880716 nd =  0.0006334979, D =   0.76007E-01  0.76007E-01  (  3.27 s,   1.7 h)
 iter   157 lrate =  1.0000000000 LL =  -1.7822608145 nd =  0.0006204571, D =   0.76023E-01  0.76023E-01  (  3.22 s,   1.6 h)
 iter   158 lrate =  1.0000000000 LL =  -1.7822345137 nd =  0.0006109688, D =   0.76042E-01  0.76042E-01  (  3.24 s,   1.7 h)
 iter   159 lrate =  1.0000000000 LL =  -1.7822088324 nd =  0.0006065668, D =   0.76064E-01  0.76064E-01  (  3.28 s,   1.7 h)
 iter   160 lrate =  1.0000000000 LL =  -1.7821835774 nd =  0.0006057128, D =   0.76090E-01  0.76090E-01  (  3.41 s,   1.7 h)
 iter   161 lrate =  1.0000000000 LL =  -1.7821582477 nd =  0.0006100195, D =   0.76120E-01  0.76120E-01  (  3.39 s,   1.7 h)
 iter   162 lrate =  1.0000000000 LL =  -1.7821324615 nd =  0.0006187231, D =   0.76159E-01  0.76159E-01  (  3.22 s,   1.6 h)
 iter   163 lrate =  1.0000000000 LL =  -1.7821058701 nd =  0.0006310067, D =   0.76207E-01  0.76207E-01  (  3.28 s,   1.7 h)
 iter   164 lrate =  1.0000000000 LL =  -1.7820779720 nd =  0.0006462739, D =   0.76266E-01  0.76266E-01  (  3.29 s,   1.7 h)
 iter   165 lrate =  1.0000000000 LL =  -1.7820485116 nd =  0.0006632814, D =   0.76337E-01  0.76337E-01  (  3.25 s,   1.7 h)
 iter   166 lrate =  1.0000000000 LL =  -1.7820171411 nd =  0.0006805539, D =   0.76422E-01  0.76422E-01  (  3.18 s,   1.6 h)
 iter   167 lrate =  1.0000000000 LL =  -1.7819837637 nd =  0.0006965656, D =   0.76521E-01  0.76521E-01  (  3.27 s,   1.7 h)
 iter   168 lrate =  1.0000000000 LL =  -1.7819482899 nd =  0.0007104763, D =   0.76636E-01  0.76636E-01  (  3.92 s,   2.0 h)
 iter   169 lrate =  1.0000000000 LL =  -1.7819107508 nd =  0.0007217201, D =   0.76769E-01  0.76769E-01  (  3.37 s,   1.7 h)
 iter   170 lrate =  1.0000000000 LL =  -1.7818712146 nd =  0.0007288327, D =   0.76927E-01  0.76927E-01  (  3.26 s,   1.7 h)
 iter   171 lrate =  1.0000000000 LL =  -1.7818301043 nd =  0.0007290391, D =   0.77106E-01  0.77106E-01  (  3.38 s,   1.7 h)
 iter   172 lrate =  1.0000000000 LL =  -1.7817879644 nd =  0.0007222792, D =   0.77308E-01  0.77308E-01  (  3.35 s,   1.7 h)
 iter   173 lrate =  1.0000000000 LL =  -1.7817454764 nd =  0.0007078942, D =   0.77537E-01  0.77537E-01  (  3.26 s,   1.7 h)
 iter   174 lrate =  1.0000000000 LL =  -1.7817033903 nd =  0.0006873415, D =   0.77798E-01  0.77798E-01  (  3.27 s,   1.7 h)
 iter   175 lrate =  1.0000000000 LL =  -1.7816624342 nd =  0.0006598499, D =   0.78091E-01  0.78091E-01  (  3.31 s,   1.7 h)
 iter   176 lrate =  1.0000000000 LL =  -1.7816232406 nd =  0.0006287809, D =   0.78417E-01  0.78417E-01  (  3.21 s,   1.6 h)
